estado_civil;estado_credito;antiguedad_empleado;edad;pct_ingreso;ingresos;antiguedad_cliente;limite_credito_tc;gastos_ult_12m;operaciones_ult_12m;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;nivel_educativo;personas_a_cargo;completitud_fila;estado_civil_ok;estado_cliente_ok;genero_ok;nivel_educativo_ok;nivel_tarjeta_ok
N;P;5_a_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;3000;4;ALQUILER;SALUD;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;C;5_a_10;25_a_30;hasta_20;50k_a_100k;mayor_4y;3k_a_5k;1k_a_4k;50_a_75;9000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
D;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;3075;3;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;hasta_20;mayor_100k;menor_2y;menor_3k;4k_a_6k;75_a_100;7200;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;DESCONOCIDO;4.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;5400;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
N;C;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;mayor_10k;8k_a_10k;50_a_75;24250;3;PROPIA;EDUCACIÓN;Y;PASIVO;M;POSGRADO_INCOMPLETO;1.0;0.0;True;True;True;True;True
D;C;menor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;6k_a_8k;mayor_100;6900;3;HIPOTECA;PERSONAL;N;ACTIVO;M;POSGRADO_COMPLETO;5.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;5000;3;ALQUILER;EDUCACIÓN;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
S;P;5_a_10;menor_25;40_a_60;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;15_a_30;29100;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;P;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;3k_a_5k;1k_a_4k;50_a_75;6000;4;ALQUILER;MEJORAS_HOGAR;N;PASIVO;M;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
C;C;mayor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;6k_a_8k;75_a_100;5000;4;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;50_a_75;13350;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;20_a_40;50k_a_100k;mayor_4y;3k_a_5k;1k_a_4k;30_a_50;18500;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;0.0;0.0;True;True;True;True;True
C;C;5_a_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;8000;4;ALQUILER;PERSONAL;N;ACTIVO;M;DESCONOCIDO;3.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;20_a_40;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;4000;2;ALQUILER;PERSONAL;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;3000;2;ALQUILER;SALUD;Y;ACTIVO;F;POSGRADO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;P;5_a_10;menor_25;hasta_20;20k_a_50k;menor_2y;5k_a_10k;1k_a_4k;50_a_75;1000;4;ALQUILER;PERSONAL;Y;ACTIVO;F;DESCONOCIDO;1.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;40_a_60;20k_a_50k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;13300;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;5k_a_10k;4k_a_6k;75_a_100;6400;3;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;15_a_30;20000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;SECUNDARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;50_a_75;4400;4;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;40_a_60;20k_a_50k;menor_2y;3k_a_5k;1k_a_4k;30_a_50;13000;3;ALQUILER;INVERSIONES;Y;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
S;P;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;6300;2;ALQUILER;SALUD;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;20_a_40;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;7500;2;ALQUILER;PERSONAL;Y;PASIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;30_a_50;3000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;4.0;0.0;True;True;True;True;True
N;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;3700;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0;0.0;True;True;True;True;True
N;C;5_a_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;mayor_10k;6k_a_8k;50_a_75;15000;4;PROPIA;EDUCACIÓN;Y;PASIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;20_a_40;20k_a_50k;menor_2y;menor_3k;4k_a_6k;50_a_75;5200;2;ALQUILER;SALUD;N;ACTIVO;F;DESCONOCIDO;5.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;4800;2;ALQUILER;SALUD;N;ACTIVO;F;SECUNDARIO_COMPLETO;1.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;19200;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;1800;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;20_a_40;hasta_20k;2y_a_4y;menor_3k;1k_a_4k;50_a_75;4000;2;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;20_a_40;20k_a_50k;menor_2y;menor_3k;1k_a_4k;30_a_50;7000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;P;menor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;3k_a_5k;1k_a_4k;30_a_50;16000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;20_a_40;mayor_100k;mayor_4y;mayor_10k;1k_a_4k;30_a_50;23750;2;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
D;P;5_a_10;menor_25;20_a_40;20k_a_50k;2y_a_4y;5k_a_10k;6k_a_8k;75_a_100;8000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;C;mayor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;4k_a_6k;50_a_75;9000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;hasta_20;mayor_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;5800;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;POSGRADO_INCOMPLETO;2.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;30_a_50;5000;2;ALQUILER;SALUD;Y;PASIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;P;5_a_10;25_a_30;hasta_20;mayor_100k;mayor_4y;menor_3k;4k_a_6k;50_a_75;7750;4;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;40_a_60;20k_a_50k;2y_a_4y;mayor_10k;4k_a_6k;75_a_100;18000;2;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;8000;4;ALQUILER;SALUD;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;40_a_60;50k_a_100k;2y_a_4y;3k_a_5k;6k_a_8k;50_a_75;22750;2;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;F;DESCONOCIDO;2.0;0.0;True;True;True;True;True
D;C;menor_10;menor_25;hasta_20;20k_a_50k;menor_2y;mayor_10k;1k_a_4k;50_a_75;6000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0;0.0;True;True;True;True;True
D;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;50_a_75;5500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;20_a_40;hasta_20k;2y_a_4y;3k_a_5k;1k_a_4k;30_a_50;2800;2;ALQUILER;PERSONAL;Y;ACTIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;P;5_a_10;menor_25;hasta_20;hasta_20k;2y_a_4y;menor_3k;menor_1k;15_a_30;3375;2;PROPIA;INVERSIONES;N;PASIVO;F;POSGRADO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;75_a_100;1500;4;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;2400;4;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;50_a_75;6000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;DESCONOCIDO;2.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;9000;3;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
N;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;7200;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;3k_a_5k;1k_a_4k;30_a_50;3000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;POSGRADO_COMPLETO;1.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;hasta_20;mayor_100k;mayor_4y;5k_a_10k;4k_a_6k;50_a_75;9000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;4k_a_6k;75_a_100;3000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;DESCONOCIDO;1.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;6000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;POSGRADO_INCOMPLETO;4.0;0.0;True;True;True;True;True
S;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;3k_a_5k;1k_a_4k;50_a_75;3500;4;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
S;P;menor_10;25_a_30;20_a_40;hasta_20k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;5500;2;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;5.0;0.0;True;True;True;True;True
S;C;5_a_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;7200;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;50_a_75;18000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;0.0;0.0;True;True;True;True;True
D;C;menor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;8500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;5000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;P;menor_10;25_a_30;40_a_60;hasta_20k;2y_a_4y;menor_3k;1k_a_4k;50_a_75;8875;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;5.0;0.0;True;True;True;True;True
D;C;5_a_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;75_a_100;8000;3;PROPIA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;20_a_40;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;7000;3;ALQUILER;PERSONAL;N;PASIVO;F;POSGRADO_INCOMPLETO;3.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;75_a_100;4000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;mayor_10k;mayor_100;10000;4;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;4k_a_6k;75_a_100;6000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
N;P;menor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;5k_a_10k;menor_1k;15_a_30;24250;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;POSGRADO_INCOMPLETO;4.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;75_a_100;5000;3;ALQUILER;PERSONAL;N;ACTIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
N;C;5_a_10;menor_25;40_a_60;50k_a_100k;menor_2y;3k_a_5k;4k_a_6k;75_a_100;21000;4;HIPOTECA;INVERSIONES;N;ACTIVO;F;POSGRADO_COMPLETO;2.0;0.0;True;True;True;True;True
S;C;5_a_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;2500;4;ALQUILER;SALUD;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;mayor_4y;3k_a_5k;1k_a_4k;15_a_30;1400;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;POSGRADO_INCOMPLETO;0.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;20_a_40;hasta_20k;2y_a_4y;mayor_10k;1k_a_4k;15_a_30;4950;4;PROPIA;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;4800;2;HIPOTECA;MEJORAS_HOGAR;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;P;5_a_10;menor_25;40_a_60;50k_a_100k;mayor_4y;5k_a_10k;menor_1k;15_a_30;30000;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;POSGRADO_COMPLETO;0.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;8k_a_10k;75_a_100;2400;2;HIPOTECA;EDUCACIÓN;Y;PASIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
C;C;5_a_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;4200;3;PROPIA;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;C;mayor_10;25_a_30;hasta_20;50k_a_100k;2y_a_4y;3k_a_5k;4k_a_6k;75_a_100;10000;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;20000;2;ALQUILER;INVERSIONES;Y;ACTIVO;M;DESCONOCIDO;3.0;0.0;True;True;True;True;True
C;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;3350;3;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;15_a_30;6000;4;HIPOTECA;MEJORAS_HOGAR;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
S;C;menor_10;25_a_30;hasta_20;50k_a_100k;menor_2y;3k_a_5k;8k_a_10k;50_a_75;7500;3;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;P;5_a_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;6500;2;HIPOTECA;SALUD;Y;PASIVO;F;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;50_a_75;7375;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;DESCONOCIDO;4.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;5k_a_10k;menor_1k;menor_15;25000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
